Date,Time (UTC),rad(m)
2018-05-01,2018-05-01 11:57:53.661971712,-0.04492508857078361
2018-05-02,2018-05-02 11:59:12.631578880,-0.05025243461605932
2018-05-03,2018-05-03 11:56:47.234042624,-0.03829463734451708
2018-05-04,2018-05-04 12:00:42.439024384,-0.05202293131890461
2018-05-05,2018-05-05 11:58:17.903564032,-0.02857918440618891
2018-05-06,2018-05-06 12:00:47.456445952,0.021559712275082698
2018-05-07,2018-05-07 11:57:35.915492864,0.04905801002076568
2018-05-08,2018-05-08 12:05:24.735729408,0.04739907024109618
2018-05-09,2018-05-09 11:58:16.933797888,0.06509832303649607
2018-05-10,2018-05-10 11:57:13.098591744,0.04273899593625867
2018-05-11,2018-05-11 11:58:05.765124608,0.037208295303631844
2018-05-12,2018-05-12 12:02:04.195804160,0.005970760220100481
2018-05-13,2018-05-13 11:58:55.335688960,-0.01994807930257307
2018-05-14,2018-05-14 11:53:09.220872192,-0.0016035347379537374
2018-05-15,2018-05-15 12:02:58.736842240,-0.01889524163360318
2018-05-16,2018-05-16 11:54:31.867043840,-0.014624204929641246
2018-05-17,2018-05-17 12:07:45.418155776,-0.04932190500242836
2018-05-18,2018-05-18 12:00:41.184668928,-0.0276416814531403
2018-05-19,2018-05-19 11:58:01.894736896,-0.03866717145816458
2018-05-20,2018-05-20 11:59:55.834501888,-0.02125773647485337
2018-05-21,2018-05-21 11:56:03.604240384,-0.044999669408580134
2018-05-22,2018-05-22 11:59:50.743337984,-0.036274632377638644
2018-05-23,2018-05-23 11:24:10.022883328,0.005274479036114662
2018-05-24,2018-05-24 11:59:48.802817024,-0.0021362244054711947
2018-05-25,2018-05-25 12:04:12.137241088,-0.0018392837624400674
2018-05-26,2018-05-26 11:58:47.038327552,-0.041004050791119385
2018-05-27,2018-05-27 11:59:30.000000000,-0.05682562947404732
2018-05-28,2018-05-28 11:53:40.357398016,-0.07167208830666583
2018-05-29,2018-05-29 11:59:56.842105344,-0.08147910128272598
2018-05-30,2018-05-30 11:58:08.210526208,-0.09327559251079616
