Date,Time (UTC),rad(m),bat(V),ras(m),sw1(min),sw2(min)
2019-01-01,2019-01-01 12:00:00.000000000,0.10104100069492679,,,,
2019-01-02,2019-01-02 11:57:14.685314816,0.1333888477803042,,,,
2019-01-03,2019-01-03 11:58:09.407665408,0.07465437363269498,,,,
2019-01-04,2019-01-04 11:56:54.545454592,0.03904758903904545,,,,
2019-01-05,2019-01-05 11:58:14.425086976,0.012081551333043415,,,,
2019-01-06,2019-01-06 11:58:09.407665408,0.02414496596718976,,,,
2019-01-07,2019-01-07 11:58:10.662020864,0.00418468722154516,,,,
2019-01-08,2019-01-08 12:00:46.202090496,0.022864129730255957,,,,
2019-01-09,2019-01-09 12:01:56.643356672,0.03416856806002446,,,,
2019-01-10,2019-01-10 11:58:14.425086976,0.032847404991579995,,,,
2019-01-11,2019-01-11 12:01:32.727272704,0.024442803708630053,,,,
2019-01-12,2019-01-12 12:00:42.315789568,0.048409879641229926,,,,
2019-01-13,2019-01-13 11:58:15.679442432,0.03440001823199814,,,,
2019-01-14,2019-01-14 12:00:43.636363776,0.025065071556527953,,,,
2019-01-15,2019-01-15 11:56:54.545454592,1.4022605479007856e-05,,,,
2019-01-16,2019-01-16 11:59:30.000000000,-0.02257916666666692,,,,
2019-01-17,2019-01-17 11:55:18.712871168,-0.03601124140617376,,,,
2019-01-18,2019-01-18 11:59:30.000000000,-0.04385763888888914,,,,
2019-01-19,2019-01-19 11:59:30.000000000,-0.07291597222222247,,,,
2019-01-20,2019-01-20 12:00:42.439024384,-0.06574353577497051,,,,
2019-01-21,2019-01-21 11:58:14.425086976,-0.06129963333594614,,,,
2019-01-22,2019-01-22 12:00:42.439024384,-0.027570016611207438,,,,
2019-01-23,2019-01-23 11:59:29.686411008,0.022214652378339594,,,,
2019-01-24,2019-01-24 11:59:30.000000000,0.0561305555555553,,,,
2019-01-25,2019-01-25 12:00:44.947735296,0.07150733530516885,,,,
2019-01-26,2019-01-26 11:59:30.000000000,0.08167361111111086,,,,
2019-01-27,2019-01-27 11:58:13.170731776,0.08418050603687617,,,,
2019-01-28,2019-01-28 12:00:49.965156864,0.05415611579297374,,,,
2019-01-29,2019-01-29 11:59:00.000000000,0.06702015288394696,,,,
2019-01-30,2019-01-30 12:01:25.338983168,0.031157578258889818,,,,
2019-01-31,2019-01-31 11:54:06.052910080,0.04210550428630333,,,,
2019-02-01,2019-02-01 11:58:59.581590016,0.16320649092880524,,,,
2019-02-02,2019-02-02 11:59:46.736841984,0.15423531507068108,,,,
2019-02-03,2019-02-03 12:00:15.890985216,0.1818366289195064,,,,
2019-02-04,2019-02-04 10:51:03.693045504,0.20983403343081716,,,,
2019-02-05,2019-02-05 12:58:34.055299584,0.12672414428757112,,,,
2019-02-06,2019-02-06 11:50:51.549893888,0.14981559233377742,,,,
2019-02-07,2019-02-07 12:00:17.148847104,0.12936143674620101,,,,
2019-02-08,2019-02-08 11:59:28.111888128,0.10106029089777178,,,,
2019-02-09,2019-02-09 11:58:12.587412480,0.08219455663203752,,,,
2019-02-10,2019-02-10 11:56:45.785007104,0.017476967445281145,,,,
2019-02-11,2019-02-11 12:03:47.388535040,-0.020871674468704464,,,,
2019-02-12,2019-02-12 11:59:23.661971968,-0.01889828734674118,,,,
2019-02-13,2019-02-13 11:59:30.000000000,-0.033288888888889034,,,,
2019-02-14,2019-02-14 11:58:11.916376320,-0.06179156237497789,,,,
2019-02-15,2019-02-15 11:59:33.146853120,-0.042639009801528904,,,,
2019-02-16,2019-02-16 11:59:30.000000000,-0.006233333333333467,,,,
2019-02-17,2019-02-17 11:58:29.477351936,-0.02864103972689427,,,,
2019-02-18,2019-02-18 11:58:10.662020864,-0.03282013380354931,,,,
2019-02-19,2019-02-19 11:59:30.000000000,-0.02002916666666682,,,,
2019-02-20,2019-02-20 11:59:30.000000000,-0.049504861111111256,,,,
2019-02-21,2019-02-21 11:59:30.000000000,-0.04501388888888904,,,,
2019-02-22,2019-02-22 11:59:30.000000000,-0.06245625000000014,,,,
2019-02-23,2019-02-23 11:59:30.000000000,-0.012143055555555709,,,,
2019-02-24,2019-02-24 11:59:30.000000000,-0.0119180555555557,,,,
2019-02-25,2019-02-25 12:05:00.000000000,0.033551082723184085,,,,
2019-02-26,2019-02-26 11:58:27.157894656,-0.013347842824055716,,,,
2019-02-27,2019-02-27 11:59:30.000000000,-0.007670833333333489,,,,
2019-02-28,2019-02-28 11:58:10.662020864,-0.030519785371493583,,,,
2019-03-01,2019-03-01 11:58:16.933797888,-0.10741883823086597,,,,
2019-03-02,2019-03-02 11:59:30.000000000,-0.10304027777777779,,,,
2019-03-03,2019-03-03 11:59:30.000000000,-0.09641736111111111,,,,
2019-03-04,2019-03-04 12:02:01.894736896,-0.14748498146237055,,,,
2019-03-05,2019-03-05 11:40:07.053701120,-0.09041460712113691,,,,
2019-03-06,2019-03-06 13:10:16.025179904,-0.03749142091555514,,,,
2019-03-07,2019-03-07 12:00:46.202090496,-0.1093331239451517,,,,
2019-03-08,2019-03-08 11:56:54.545454592,-0.03106508092488485,,,,
2019-03-09,2019-03-09 11:59:30.000000000,-0.04367569444444444,,,,
2019-03-10,2019-03-10 11:59:30.000000000,0.009834722222222224,,,,
2019-03-11,2019-03-11 12:00:23.368421120,0.02830940450254175,,,,
2019-03-12,2019-03-12 11:59:30.000000000,0.023897222222222222,,,,
2019-03-13,2019-03-13 11:59:30.000000000,0.027645833333333335,,,,
2019-03-14,2019-03-14 11:59:30.000000000,0.045990277777777776,,,,
2019-03-15,2019-03-15 11:59:30.000000000,0.04666944444444444,,,,
2019-03-16,2019-03-16 11:59:30.000000000,0.08430972222222222,,,,
2019-03-17,2019-03-17 11:59:30.000000000,0.09555,,,,
2019-03-18,2019-03-18 11:57:01.672473856,0.1239170502708762,,,,
2019-03-19,2019-03-19 11:59:30.000000000,0.14694513888888888,,,,
2019-03-20,2019-03-20 11:58:11.916376320,0.10458325236146854,,,,
2019-03-21,2019-03-21 11:59:30.000000000,0.11693333333333332,,,,
2019-03-22,2019-03-22 11:59:30.000000000,0.09880972222222223,,,,
2019-03-23,2019-03-23 11:58:10.662020864,0.09406130114195632,,,,
2019-03-24,2019-03-24 12:01:42.648083712,0.09319928023603301,,,,
2019-03-25,2019-03-25 11:59:30.000000000,0.08024375,,,,
2019-03-26,2019-03-26 11:58:47.038327552,0.06828778197819325,,,,
2019-03-27,2019-03-27 11:59:30.000000000,0.06170277777777778,,,,
2019-03-28,2019-03-28 11:54:56.223776256,0.04882373026392634,,,,
2019-03-29,2019-03-29 11:59:30.000000000,0.03197708333333334,,,,
2019-03-30,2019-03-30 11:59:30.000000000,0.006782638888888896,,,,
2019-03-31,2019-03-31 12:24:16.956521728,0.019506521739130415,,,,
2019-04-01,2019-04-01 11:59:30.000000000,-0.012284722222222265,,,,
2019-04-02,2019-04-02 12:00:36.167247360,-0.029120463119049148,,,,
2019-04-03,2019-04-03 11:59:30.000000000,-0.0014118055555555793,,,,
2019-04-04,2019-04-04 11:59:30.000000000,-0.05678888888888892,,,,
2019-04-05,2019-04-05 11:59:30.000000000,-0.08196388888888893,,,,
2019-04-06,2019-04-06 11:59:30.000000000,-0.11457152777777782,,,,
2019-04-07,2019-04-07 09:05:00.000000000,0.06210174152153985,,,,
2019-05-03,2019-05-03 15:55:30.000000000,-0.05386260330578505,,,,
2019-05-04,2019-05-04 11:59:30.000000000,-0.0017930555555554907,,,,
2019-05-05,2019-05-05 11:59:30.000000000,0.02169305555555563,,,,
