Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-04-2018,25.0,31.6,27.9,81,1.8,8.0,5,270,2,W 
02-04-2018,25.0,31.8,28.2,77,0.0,9.0,3,120,1,SE
03-04-2018,26.0,31.8,28.9,75,0.6,10.2,4,270,2,SE
04-04-2018,25.0,32.8,28.7,75,0.0,8.7,5,130,2,SE
05-04-2018,26.0,32.0,28.7,83,3.1,8.7,4,100,2,E 
06-04-2018,26.0,31.9,28.5,79,0.0,10.5,4,90,2,SE
07-04-2018,25.0,31.2,28.0,78,0.0,10.2,5,100,2,E 
08-04-2018,25.0,32.0,27.8,77,0.0,9.8,5,90,3,E 
09-04-2018,25.0,31.7,28.3,77,0.0,10.6,6,110,3,E 
10-04-2018,26.0,31.6,28.4,80,0.0,10.0,5,100,3,E 
11-04-2018,,31.7,28.4,78,0.0,10.4,5,110,3,E 
12-04-2018,26.0,31.9,29.3,72,0.0,10.5,4,100,3,E 
13-04-2018,26.0,31.8,28.9,81,0.0,10.4,7,110,4,E 
14-04-2018,28.0,,29.1,82,0.0,,5,0,3,SE
15-04-2018,27.0,32.1,28.9,81,8888.0,11.0,6,110,3,SE
16-04-2018,26.0,32.5,28.6,78,0.0,11.0,5,110,2,E 
17-04-2018,25.0,31.4,27.9,82,5.6,10.5,5,70,3,E 
18-04-2018,26.0,31.7,28.6,80,0.0,10.7,5,130,2,E 
19-04-2018,26.0,31.4,27.9,80,0.0,11.0,5,90,3,E 
20-04-2018,26.0,31.8,27.9,81,0.0,7.6,4,120,2,E 
21-04-2018,26.0,31.4,28.1,84,0.0,10.0,4,110,2,E 
22-04-2018,26.0,31.5,28.2,83,0.0,8.5,6,110,4,E 
23-04-2018,26.0,31.4,29.1,78,0.0,10.0,6,120,4,E 
24-04-2018,26.0,31.2,28.1,79,0.0,10.8,5,90,4,E 
25-04-2018,26.0,31.4,28.0,77,0.0,10.4,5,110,3,E 
26-04-2018,26.0,31.4,27.8,79,0.0,9.6,7,100,4,E 
27-04-2018,25.0,31.2,27.3,77,0.0,10.6,6,110,4,E 
28-04-2018,25.0,31.0,28.7,74,0.0,11.0,6,110,3,E 
29-04-2018,25.0,31.2,27.6,77,0.0,,5,90,3,E 
30-04-2018,24.0,31.1,27.0,77,0.0,11.1,5,110,3,E 
