Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-08-2018,24.0,29.0,25.4,84,27.0,9.5,5,150,3,SE
02-08-2018,24.0,28.4,25.8,66,1.0,5.5,5,110,3,SE
03-08-2018,22.0,27.6,24.8,75,1.8,10.5,5,130,4,SE
04-08-2018,24.0,28.0,25.4,72,0.2,5.4,6,110,3,SE
05-08-2018,23.0,26.4,24.6,73,1.8,7.6,4,170,2,S 
06-08-2018,22.0,27.5,24.6,79,5.2,0.0,7,110,4,SE
07-08-2018,23.0,29.2,26.3,74,3.8,4.5,7,100,6,SE
08-08-2018,24.0,29.0,26.7,78,0.2,6.3,7,120,4,E 
09-08-2018,23.0,29.3,25.6,84,0.0,10.3,7,110,4,E 
10-08-2018,24.0,28.4,25.2,85,4.5,9.9,6,80,4,SE
11-08-2018,24.0,29.0,25.9,79,11.8,2.6,7,110,5,SE
12-08-2018,25.0,28.2,26.1,75,0.0,4.1,7,120,5,SE
13-08-2018,25.0,,26.1,78,0.0,9.8,6,110,4,E 
14-08-2018,25.0,28.4,25.9,82,0.0,6.7,6,110,4,E 
15-08-2018,25.0,29.4,25.8,76,0.0,10.6,5,120,4,E 
16-08-2018,25.0,28.4,25.9,74,0.0,10.8,6,110,4,SE
17-08-2018,21.0,26.0,21.7,93,8.6,10.4,5,280,2,W 
18-08-2018,21.0,27.5,24.8,85,11.3,0.0,6,110,4,SE
19-08-2018,23.0,28.4,26.3,81,15.9,5.3,6,110,5,E 
20-08-2018,25.0,29.6,26.5,79,0.0,8.5,6,100,4,SE
21-08-2018,,29.0,26.5,79,0.0,10.4,5,100,3,SE
22-08-2018,23.0,29.0,25.8,80,0.0,9.7,5,110,4,E 
23-08-2018,24.0,28.7,26.3,77,0.0,10.2,6,110,4,E 
24-08-2018,25.0,28.5,26.2,68,0.0,9.8,6,110,3,E 
25-08-2018,21.0,28.5,24.2,76,0.0,10.6,5,110,3,SE
26-08-2018,21.0,28.6,26.3,77,0.0,9.6,5,100,4,E 
27-08-2018,25.0,29.0,26.3,78,0.0,9.0,4,110,3,SE
28-08-2018,24.0,29.2,25.8,83,1.3,5.1,5,110,2,SE
29-08-2018,23.0,28.9,24.8,86,0.0,8.4,5,260,2,S 
30-08-2018,23.0,28.6,24.9,82,8888.0,3.8,4,110,2,SE
31-08-2018,24.0,28.8,26.0,82,0.7,3.1,8,130,4,SE
