Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-12-2018,25.0,30.6,28.1,77,8888.0,4.7,5,270,2,S 
02-12-2018,25.0,30.7,28.1,78,0.5,6.6,4,150,2,SE
03-12-2018,26.0,28.6,26.5,88,1.4,9.2,5,90,2,SE
04-12-2018,25.0,29.8,26.2,93,12.9,0.0,5,100,2,E 
05-12-2018,26.0,30.9,27.7,88,2.6,9.9,5,100,2,E 
06-12-2018,25.0,31.9,28.5,80,0.0,8.8,7,90,2,SE
07-12-2018,25.0,31.1,28.8,84,36.4,11.0,4,130,3,SE
08-12-2018,24.0,29.9,27.1,88,4.3,10.8,5,260,2,W 
09-12-2018,26.0,30.4,28.7,84,0.0,8.5,6,270,2,S 
10-12-2018,27.0,31.5,28.7,85,0.0,7.3,5,270,3,SW
11-12-2018,28.0,31.0,29.2,80,0.0,9.8,9,230,4,W 
12-12-2018,27.0,30.9,29.2,76,0.0,10.9,6,250,5,W 
13-12-2018,28.0,30.9,29.1,78,0.0,8.2,6,270,4,SW
14-12-2018,27.0,30.9,29.0,81,0.3,7.0,6,260,4,W 
15-12-2018,27.0,31.0,29.2,76,0.0,9.0,6,260,4,W 
16-12-2018,28.0,31.0,29.2,74,0.0,10.3,6,250,3,SW
17-12-2018,27.0,33.5,29.2,72,0.0,10.5,6,250,3,W 
18-12-2018,27.0,31.2,28.9,74,0.0,8.2,6,240,3,SW
19-12-2018,27.0,30.8,28.4,70,8888.0,10.0,5,260,2,SW
20-12-2018,21.0,30.0,27.9,78,0.0,5.6,5,150,2,SE
21-12-2018,26.0,31.7,28.5,78,8888.0,1.1,6,260,2,S 
22-12-2018,26.0,31.6,27.6,86,2.9,8.2,6,260,2,SW
23-12-2018,26.0,30.7,28.2,81,12.9,6.6,6,240,3,SW
24-12-2018,,,,84,0.2,4.5,9,290,5,NW
25-12-2018,23.0,30.4,26.8,82,8.6,0.0,5,310,3,W 
26-12-2018,25.0,30.8,28.1,80,8888.0,4.3,6,260,5,W 
27-12-2018,26.0,30.9,28.6,78,0.0,9.3,10,270,7,W 
28-12-2018,28.0,30.5,28.9,79,0.7,7.3,11,260,8,W 
29-12-2018,26.0,32.0,29.1,75,3.6,0.0,10,260,8,W 
30-12-2018,26.0,30.5,28.0,79,4.0,1.2,8,260,6,W 
31-12-2018,26.0,31.2,28.4,76,0.0,6.3,4,120,2,E 
