Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-02-2018,24.0,28.6,25.1,84,8.1,7.4,8,280,5,W 
02-02-2018,24.0,29.6,27.0,85,23.1,0.0,7,270,4,W 
03-02-2018,25.0,29.9,27.0,88,1.3,5.8,5,250,2,E 
04-02-2018,24.0,30.5,27.1,85,13.0,3.2,6,260,4,W 
05-02-2018,,30.5,27.8,81,2.9,10.0,8,250,4,W 
06-02-2018,26.0,30.0,28.1,80,2.8,7.2,8,260,4,W 
07-02-2018,26.0,30.0,27.3,82,1.4,9.2,5,250,3,W 
08-02-2018,25.0,29.6,26.2,89,23.2,8.8,6,280,3,W 
09-02-2018,,29.4,27.3,84,49.4,5.9,6,280,3,W 
10-02-2018,24.0,30.2,27.3,84,8.8,9.2,5,250,2,W 
11-02-2018,25.0,30.9,27.9,75,0.0,10.0,5,240,2,W 
12-02-2018,25.0,31.2,27.7,81,0.0,10.2,8,280,5,W 
13-02-2018,26.0,30.1,28.0,81,13.0,11.2,10,280,7,W 
14-02-2018,24.0,30.2,27.8,82,9.1,6.5,10,270,7,W 
15-02-2018,25.0,28.2,26.0,88,21.4,4.5,9,280,7,W 
16-02-2018,,30.6,28.3,78,50.2,0.0,8,270,6,W 
17-02-2018,24.0,30.7,28.4,79,2.9,10.0,9,250,6,W 
18-02-2018,24.0,,28.3,80,3.0,8.6,7,280,5,W 
19-02-2018,27.0,30.5,28.2,82,0.0,11.5,5,280,3,W 
20-02-2018,25.0,30.8,27.8,81,8888.0,11.4,6,240,4,W 
21-02-2018,25.0,30.5,28.8,77,8888.0,11.8,7,280,3,W 
22-02-2018,25.0,30.0,27.1,82,12.9,11.0,5,270,2,W 
23-02-2018,25.0,,27.2,84,1.4,5.8,4,270,2,N 
24-02-2018,26.0,30.0,27.3,84,23.2,7.6,6,330,2,NW
25-02-2018,24.0,28.8,26.1,85,73.1,4.6,4,260,2,W 
26-02-2018,25.0,30.3,27.2,79,0.5,2.8,5,260,2,W 
27-02-2018,25.0,30.8,27.6,79,8888.0,10.0,6,250,2,W 
28-02-2018,26.0,30.8,27.6,81,2.1,12.3,5,250,2,W 
