Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-07-2018,25.0,29.2,26.3,76,0.0,9.9,6,120,4,E 
02-07-2018,25.0,29.2,26.6,79,0.0,9.5,6,110,3,E 
03-07-2018,24.0,29.6,27.1,82,0.0,9.6,6,110,4,E 
04-07-2018,26.0,29.5,26.9,80,,7.2,6,110,5,SE
05-07-2018,26.0,29.0,26.9,67,8888.0,8.2,10,120,5,SE
06-07-2018,26.0,29.2,26.5,71,0.0,10.2,6,120,4,SE
07-07-2018,23.0,29.0,25.4,77,8888.0,7.7,6,110,4,E 
08-07-2018,25.0,29.0,26.4,78,1.0,9.3,7,110,4,SE
09-07-2018,25.0,29.2,26.6,80,8888.0,8.5,7,110,5,E 
10-07-2018,26.0,28.9,26.6,71,0.0,7.8,6,130,5,SE
11-07-2018,25.0,29.4,26.5,76,0.0,8.9,6,120,4,E 
12-07-2018,24.0,28.6,25.6,82,1.6,8.4,6,90,5,E 
13-07-2018,,28.6,26.2,74,0.0,8.3,6,120,5,SE
14-07-2018,25.0,28.4,25.8,71,0.0,7.4,6,110,4,SE
15-07-2018,24.0,28.2,25.6,71,0.0,8.6,4,130,3,SE
16-07-2018,24.0,28.2,25.7,76,0.5,3.4,5,120,4,E 
17-07-2018,25.0,28.4,25.7,80,0.0,10.5,5,110,4,E 
18-07-2018,25.0,28.8,26.1,80,8888.0,9.7,5,110,3,E 
19-07-2018,24.0,28.8,25.5,84,0.3,10.5,6,110,3,E 
20-07-2018,24.0,29.2,26.3,83,0.0,9.2,6,90,4,SE
21-07-2018,,29.7,26.9,82,0.3,8.8,5,110,3,SE
22-07-2018,26.0,29.0,26.8,85,4.9,9.5,6,100,4,E 
23-07-2018,25.0,29.6,26.6,81,2.4,6.7,6,110,5,E 
24-07-2018,24.0,28.8,25.3,77,0.0,10.6,5,110,4,E 
25-07-2018,22.0,29.1,24.9,77,0.0,10.8,5,120,3,E 
26-07-2018,23.0,29.4,25.5,78,0.0,10.3,5,120,3,SE
27-07-2018,23.0,,26.2,78,0.0,8.2,5,100,3,SE
28-07-2018,25.0,29.0,26.2,78,0.0,10.2,6,110,4,SE
29-07-2018,25.0,,26.4,76,0.0,7.6,6,110,4,E 
30-07-2018,,29.1,26.2,80,0.0,7.7,7,110,4,E 
31-07-2018,25.0,29.2,26.5,83,0.0,9.7,6,110,4,SE
