Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-03-2018,25.0,30.9,27.8,77,0.0,9.4,4,280,2,W 
02-03-2018,25.0,31.2,28.2,79,0.0,7.7,5,260,3,W 
03-03-2018,26.0,31.6,28.5,77,0.0,10.5,4,250,2,NE
04-03-2018,26.0,32.4,28.0,83,0.0,6.7,4,110,2,E 
05-03-2018,26.0,30.8,28.3,79,0.0,8.6,4,90,2,E 
06-03-2018,25.0,32.4,28.2,77,0.0,6.5,5,100,2,E 
07-03-2018,26.0,31.1,28.1,83,8888.0,7.8,5,260,2,W 
08-03-2018,26.0,30.8,27.9,80,11.2,8.1,5,250,3,W 
09-03-2018,,30.8,27.7,82,,6.8,5,290,3,W 
10-03-2018,26.0,31.0,28.3,79,8888.0,10.0,5,280,2,W 
11-03-2018,26.0,31.6,28.4,78,0.0,11.4,4,100,2,E 
12-03-2018,26.0,31.2,28.8,80,0.0,10.9,4,100,2,E 
13-03-2018,26.0,31.2,27.5,80,0.0,9.4,5,310,2,E 
14-03-2018,26.0,30.4,26.8,87,2.2,6.5,4,250,2,W 
15-03-2018,25.0,30.4,27.0,83,15.7,4.8,6,250,2,W 
16-03-2018,25.0,30.2,27.2,81,0.4,5.5,4,250,2,W 
17-03-2018,24.0,30.6,27.0,82,17.1,4.5,5,90,2,E 
18-03-2018,24.0,31.2,27.6,77,0.0,10.8,4,100,2,E 
19-03-2018,24.0,30.9,27.8,79,0.0,10.9,5,250,3,NW
20-03-2018,25.0,30.8,28.4,81,0.0,10.5,7,280,4,W 
21-03-2018,26.0,32.4,28.5,77,0.0,8.6,7,280,2,S 
22-03-2018,26.0,30.4,27.6,84,0.0,9.4,5,260,2,NW
23-03-2018,25.0,32.3,28.4,81,34.2,4.8,3,320,2,S 
24-03-2018,25.0,31.2,27.8,81,1.6,9.9,4,250,2,W 
25-03-2018,24.0,30.6,27.7,83,1.3,5.8,4,290,2,W 
26-03-2018,25.0,31.0,28.3,78,0.0,6.1,6,270,3,W 
27-03-2018,26.0,31.0,27.9,80,2.4,,7,280,4,W 
28-03-2018,25.0,31.1,27.9,79,0.1,7.4,7,280,4,W 
29-03-2018,25.0,31.5,28.9,80,0.0,10.9,7,280,5,SW
30-03-2018,24.0,31.2,27.3,81,4.1,10.3,6,280,3,W 
31-03-2018,25.0,31.2,28.6,75,0.0,8.6,5,280,2,W 
