Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-11-2018,25.0,32.0,28.5,73,0.0,11.7,4,230,2,SE
02-11-2018,25.0,,28.4,77,0.0,11.5,5,130,3,SE
03-11-2018,27.0,32.2,29.0,78,0.0,10.2,5,110,3,SE
04-11-2018,,31.0,27.7,83,39.0,11.6,6,50,2,SE
05-11-2018,25.0,31.6,27.7,87,13.7,5.0,5,130,3,SE
06-11-2018,26.0,31.5,28.9,81,6.1,9.4,6,100,3,SE
07-11-2018,27.0,31.0,28.1,83,8888.0,10.0,4,130,2,SE
08-11-2018,25.0,31.2,27.9,85,27.2,2.5,4,110,2,E 
09-11-2018,25.0,31.2,27.5,86,0.2,7.1,6,130,2,E 
10-11-2018,26.0,31.4,28.1,83,0.7,,6,120,2,SE
11-11-2018,26.0,32.1,28.4,83,0.0,8.9,5,130,2,SE
12-11-2018,25.0,31.2,27.6,83,10.2,9.9,4,110,2,SE
13-11-2018,26.0,31.0,28.5,81,1.3,6.8,5,130,3,E 
14-11-2018,26.0,31.7,28.8,81,0.0,9.6,6,150,3,SE
15-11-2018,23.0,31.4,27.4,86,85.2,10.7,4,120,2,SE
16-11-2018,26.0,31.5,28.6,82,0.0,9.5,5,240,2,SW
17-11-2018,26.0,30.4,28.4,83,0.0,10.3,5,260,2,W 
18-11-2018,27.0,30.7,29.0,83,0.0,11.2,6,260,4,W 
19-11-2018,27.0,30.4,28.7,81,0.0,,6,270,5,W 
20-11-2018,27.0,30.6,28.4,81,0.0,11.3,7,270,5,W 
21-11-2018,27.0,30.9,28.3,82,0.0,11.1,6,290,4,W 
22-11-2018,27.0,31.0,29.1,74,0.0,11.0,7,240,3,SW
23-11-2018,25.0,29.8,27.1,83,11.5,11.4,4,270,2,S 
24-11-2018,25.0,,26.7,85,30.5,2.2,5,40,2,NW
25-11-2018,24.0,30.4,27.2,83,12.3,1.4,5,20,2,SE
26-11-2018,23.0,28.8,26.6,86,3.1,6.8,3,310,2,SE
27-11-2018,25.0,30.7,27.6,82,0.1,1.9,4,100,2,E 
28-11-2018,25.0,30.5,27.4,87,11.4,6.5,4,260,2,SW
29-11-2018,25.0,28.4,26.0,93,30.5,4.2,5,270,2,N 
30-11-2018,25.0,29.9,27.3,84,6.7,0.0,5,260,2,SW
