Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2018,25.0,30.8,27.4,74,0.0,10.6,6,110,2,E 
02-05-2018,23.0,30.5,26.3,77,0.0,,4,90,2,E 
03-05-2018,24.0,30.6,26.6,81,0.0,10.5,4,100,2,E 
04-05-2018,24.0,30.8,26.6,78,0.0,10.3,5,120,2,NE
05-05-2018,24.0,31.0,27.7,80,0.0,,6,120,3,SE
06-05-2018,25.0,31.2,27.6,82,0.0,11.0,5,110,3,E 
07-05-2018,25.0,30.8,27.7,79,0.0,10.7,6,110,4,E 
08-05-2018,25.0,30.8,27.5,77,0.0,,5,120,3,E 
09-05-2018,24.0,30.8,27.0,79,0.6,10.3,6,110,5,E 
10-05-2018,25.0,30.6,27.3,78,0.0,10.2,7,110,5,E 
11-05-2018,25.0,,28.6,76,0.0,10.5,8,100,6,E 
12-05-2018,28.0,31.0,28.8,74,0.0,10.8,7,110,6,E 
13-05-2018,28.0,31.2,28.7,77,0.0,9.9,7,100,6,E 
14-05-2018,28.0,30.4,28.5,80,0.0,10.2,7,100,6,E 
15-05-2018,27.0,30.9,28.5,81,0.0,8.1,7,100,5,E 
16-05-2018,27.0,30.3,28.0,83,0.0,4.6,7,110,6,E 
17-05-2018,27.0,30.2,27.7,80,0.0,5.9,7,120,5,E 
18-05-2018,26.0,29.6,27.1,79,0.0,10.0,6,110,5,E 
19-05-2018,26.0,29.6,27.2,80,0.0,9.5,6,110,5,E 
20-05-2018,26.0,29.6,27.2,81,0.0,8.3,6,110,4,E 
21-05-2018,26.0,29.8,27.4,84,0.0,8.0,7,120,4,E 
22-05-2018,27.0,30.4,27.8,82,0.2,5.5,7,120,5,E 
23-05-2018,,30.2,28.0,80,0.0,10.7,6,110,5,SE
24-05-2018,27.0,30.0,28.0,83,0.0,10.2,6,110,5,E 
25-05-2018,27.0,30.4,28.0,81,0.0,9.6,6,110,4,SE
26-05-2018,27.0,30.6,28.1,80,0.0,9.7,5,100,4,SE
27-05-2018,27.0,30.1,27.9,79,0.7,7.5,7,110,4,E 
28-05-2018,27.0,29.8,27.7,77,0.3,9.0,6,110,5,E 
29-05-2018,26.0,29.8,27.5,71,8888.0,8.6,6,110,3,E 
30-05-2018,24.0,30.0,26.2,79,0.0,10.1,5,100,3,E 
31-05-2018,23.0,30.0,25.6,81,0.0,10.7,5,90,2,E 
01-06-2018,23.0,,25.8,81,0.0,10.3,5,110,2,E 
02-06-2018,23.0,29.8,26.1,81,0.0,10.4,5,120,4,E 
03-06-2018,26.0,30.2,27.3,81,,10.0,6,120,4,E 
04-06-2018,26.0,30.0,27.5,82,0.0,10.5,5,100,3,E 
05-06-2018,25.0,30.2,26.9,83,0.0,8.8,5,90,3,E 
06-06-2018,25.0,30.4,26.8,81,0.0,9.5,4,90,2,E 
07-06-2018,25.0,30.7,26.7,84,0.0,7.7,5,110,3,E 
08-06-2018,,30.5,27.2,82,0.0,10.4,5,130,3,SE
09-06-2018,26.0,29.9,27.6,77,0.0,8.3,5,120,4,SE
10-06-2018,26.0,29.9,27.9,80,0.0,8.1,6,120,5,SE
11-06-2018,27.0,29.6,27.5,82,0.0,8.4,8,130,5,E 
12-06-2018,27.0,30.4,27.6,78,0.2,4.9,5,110,3,SE
13-06-2018,24.0,31.0,26.4,76,,,6,110,2,SE
14-06-2018,24.0,29.8,26.0,77,8888.0,9.2,5,120,3,SE
15-06-2018,24.0,29.4,26.3,78,0.6,10.5,5,120,3,SE
16-06-2018,26.0,29.6,27.2,80,0.0,10.3,5,110,4,E 
17-06-2018,25.0,29.5,26.8,80,0.0,7.9,7,110,4,E 
18-06-2018,,29.2,26.5,83,,,6,110,3,E 
19-06-2018,25.0,28.6,25.9,89,0.0,10.0,6,140,3,SE
20-06-2018,24.0,28.6,27.2,83,14.3,1.8,7,110,4,E 
21-06-2018,25.0,28.2,27.3,83,8888.0,3.4,7,120,5,SE
22-06-2018,26.0,29.6,27.3,79,0.5,0.3,6,110,5,E 
23-06-2018,26.0,29.6,27.3,78,,6.6,7,120,5,SE
24-06-2018,26.0,29.4,27.2,79,0.0,4.2,8,110,5,SE
25-06-2018,26.0,29.0,27.0,76,8888.0,6.7,8,110,6,SE
26-06-2018,26.0,29.0,26.9,77,0.0,7.9,7,120,5,SE
27-06-2018,26.0,28.4,26.7,79,0.0,6.8,6,120,5,SE
28-06-2018,26.0,29.0,26.7,76,0.0,,6,110,4,SE
29-06-2018,26.0,29.0,26.6,79,0.0,9.0,6,110,5,E 
30-06-2018,25.0,29.2,26.6,78,0.0,8.1,6,110,5,E 
01-07-2018,25.0,29.2,26.3,76,0.0,9.9,6,120,4,E 
02-07-2018,25.0,29.2,26.6,79,0.0,9.5,6,110,3,E 
03-07-2018,24.0,29.6,27.1,82,0.0,9.6,6,110,4,E 
04-07-2018,26.0,29.5,26.9,80,,7.2,6,110,5,SE
05-07-2018,26.0,29.0,26.9,67,8888.0,8.2,10,120,5,SE
06-07-2018,26.0,29.2,26.5,71,0.0,10.2,6,120,4,SE
07-07-2018,23.0,29.0,25.4,77,8888.0,7.7,6,110,4,E 
08-07-2018,25.0,29.0,26.4,78,1.0,9.3,7,110,4,SE
09-07-2018,25.0,29.2,26.6,80,8888.0,8.5,7,110,5,E 
10-07-2018,26.0,28.9,26.6,71,0.0,7.8,6,130,5,SE
11-07-2018,25.0,29.4,26.5,76,0.0,8.9,6,120,4,E 
12-07-2018,24.0,28.6,25.6,82,1.6,8.4,6,90,5,E 
13-07-2018,,28.6,26.2,74,0.0,8.3,6,120,5,SE
14-07-2018,25.0,28.4,25.8,71,0.0,7.4,6,110,4,SE
15-07-2018,24.0,28.2,25.6,71,0.0,8.6,4,130,3,SE
16-07-2018,24.0,28.2,25.7,76,0.5,3.4,5,120,4,E 
17-07-2018,25.0,28.4,25.7,80,0.0,10.5,5,110,4,E 
18-07-2018,25.0,28.8,26.1,80,8888.0,9.7,5,110,3,E 
19-07-2018,24.0,28.8,25.5,84,0.3,10.5,6,110,3,E 
20-07-2018,24.0,29.2,26.3,83,0.0,9.2,6,90,4,SE
21-07-2018,,29.7,26.9,82,0.3,8.8,5,110,3,SE
22-07-2018,26.0,29.0,26.8,85,4.9,9.5,6,100,4,E 
23-07-2018,25.0,29.6,26.6,81,2.4,6.7,6,110,5,E 
24-07-2018,24.0,28.8,25.3,77,0.0,10.6,5,110,4,E 
25-07-2018,22.0,29.1,24.9,77,0.0,10.8,5,120,3,E 
26-07-2018,23.0,29.4,25.5,78,0.0,10.3,5,120,3,SE
27-07-2018,23.0,,26.2,78,0.0,8.2,5,100,3,SE
28-07-2018,25.0,29.0,26.2,78,0.0,10.2,6,110,4,SE
29-07-2018,25.0,,26.4,76,0.0,7.6,6,110,4,E 
30-07-2018,,29.1,26.2,80,0.0,7.7,7,110,4,E 
31-07-2018,25.0,29.2,26.5,83,0.0,9.7,6,110,4,SE
01-08-2018,24.0,29.0,25.4,84,27.0,9.5,5,150,3,SE
02-08-2018,24.0,28.4,25.8,66,1.0,5.5,5,110,3,SE
03-08-2018,22.0,27.6,24.8,75,1.8,10.5,5,130,4,SE
04-08-2018,24.0,28.0,25.4,72,0.2,5.4,6,110,3,SE
05-08-2018,23.0,26.4,24.6,73,1.8,7.6,4,170,2,S 
06-08-2018,22.0,27.5,24.6,79,5.2,0.0,7,110,4,SE
07-08-2018,23.0,29.2,26.3,74,3.8,4.5,7,100,6,SE
08-08-2018,24.0,29.0,26.7,78,0.2,6.3,7,120,4,E 
09-08-2018,23.0,29.3,25.6,84,0.0,10.3,7,110,4,E 
10-08-2018,24.0,28.4,25.2,85,4.5,9.9,6,80,4,SE
11-08-2018,24.0,29.0,25.9,79,11.8,2.6,7,110,5,SE
12-08-2018,25.0,28.2,26.1,75,0.0,4.1,7,120,5,SE
13-08-2018,25.0,,26.1,78,0.0,9.8,6,110,4,E 
14-08-2018,25.0,28.4,25.9,82,0.0,6.7,6,110,4,E 
15-08-2018,25.0,29.4,25.8,76,0.0,10.6,5,120,4,E 
