Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2019,25.4,33.5,28.0,84.0,3.4,8.0,8,230,5,W 
02-01-2019,25.8,30.0,27.4,82.0,1.3,6.9,8,290,6,W 
03-01-2019,25.6,31.0,28.4,74.0,0.3,0.0,10,290,4,NW
04-01-2019,,31.4,28.1,75.0,0.3,0.0,4,90,2,E 
05-01-2019,,32.0,28.2,84.0,0.0,7.5,4,130,2,S 
06-01-2019,26.1,29.4,27.5,90.0,1.2,10.3,3,70,2,NW
07-01-2019,21.2,31.8,28.1,84.0,4.0,1.6,4,260,2,SW
08-01-2019,26.2,31.0,28.9,78.0,6.5,8.7,6,270,3,W 
09-01-2019,26.2,31.2,28.7,83.0,8888.0,11.1,5,280,2,W 
10-01-2019,26.2,31.6,28.7,83.0,16.5,10.8,5,250,2,SW
11-01-2019,26.8,32.0,29.0,82.0,8888.0,11.6,6,250,2,W 
12-01-2019,26.7,31.2,28.3,85.0,0.4,10.6,6,270,2,W 
13-01-2019,24.6,32.0,28.4,82.0,41.0,6.3,5,270,3,NW
14-01-2019,26.2,31.4,,,0.4,,7,10,4,W 
15-01-2019,23.7,31.0,28.2,86.0,76.0,8.5,8,160,4,W 
16-01-2019,22.8,28.8,26.7,88.0,66.9,8.3,5,310,3,NW
17-01-2019,24.4,30.8,28.1,83.0,5.0,0.3,8,290,4,W 
18-01-2019,25.2,31.0,27.8,81.0,1.3,2.7,4,300,2,W 
19-01-2019,26.4,30.7,28.4,80.0,0.0,6.1,9,280,2,W 
20-01-2019,24.1,31.0,27.9,83.0,5.5,2.3,6,250,3,W 
21-01-2019,24.9,29.2,26.8,90.0,7.9,10.1,12,280,7,W 
22-01-2019,24.8,31.0,28.1,84.0,59.1,1.7,12,260,8,W 
23-01-2019,25.8,30.5,27.7,82.0,2.5,4.0,12,280,8,W 
24-01-2019,26.3,30.1,28.2,80.0,8888.0,0.2,13,260,10,W 
25-01-2019,,31.8,29.0,75.0,17.1,0.2,11,270,8,W 
26-01-2019,27.9,32.0,29.4,71.0,0.0,8.5,8,280,5,W 
27-01-2019,26.0,31.9,28.3,81.0,0.1,10.8,5,250,2,E 
28-01-2019,24.2,30.4,28.0,83.0,11.5,7.6,6,310,2,E 
29-01-2019,26.0,31.4,28.8,78.0,0.0,1.7,4,300,2,SE
30-01-2019,25.8,32.0,28.8,80.0,0.0,10.7,7,240,3,E 
31-01-2019,23.6,30.2,25.8,89.0,14.9,11.7,5,300,4,NW
