Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-06-2019,26.0,29.5,27.0,75,0.0,9.6,7,110,6,SE
02-06-2019,26.0,29.5,27.1,77,0.0,9.5,6,110,5,E 
03-06-2019,26.0,29.6,27.3,78,0.0,6.4,6,100,4,E 
04-06-2019,26.0,29.5,27.1,80,0.0,5.3,6,100,4,E 
05-06-2019,21.0,29.4,26.5,82,0.0,7.8,6,110,4,E 
06-06-2019,25.0,29.0,26.6,81,0.0,8.3,6,110,5,E 
07-06-2019,25.0,29.0,26.6,81,0.0,10.0,5,90,4,E 
08-06-2019,26.0,29.5,26.7,81,0.0,8.7,5,110,3,E 
09-06-2019,24.0,29.4,26.2,85,0.0,8.2,5,100,3,E 
10-06-2019,25.0,29.2,26.7,80,0.0,8.0,5,100,3,SE
11-06-2019,25.0,29.4,26.5,83,8888.0,10.8,6,110,4,E 
12-06-2019,25.0,29.4,27.0,81,0.0,9.8,7,110,4,E 
13-06-2019,26.0,29.2,27.1,81,0.0,9.8,7,110,5,SE
14-06-2019,26.0,29.0,27.2,81,0.3,4.3,5,120,4,SE
15-06-2019,,29.8,27.1,78,0.0,1.2,7,90,4,E 
16-06-2019,26.0,29.0,26.7,76,0.0,9.4,6,110,4,E 
17-06-2019,25.0,29.0,26.4,76,0.0,10.1,6,100,4,E 
18-06-2019,23.0,28.8,25.0,80,0.0,10.4,5,100,3,E 
19-06-2019,22.0,29.1,24.9,80,0.0,10.0,5,120,2,SE
20-06-2019,22.0,29.0,25.3,77,0.0,9.7,5,110,3,E 
21-06-2019,23.0,28.4,25.1,77,0.0,9.5,6,110,2,SE
22-06-2019,22.0,29.0,24.5,79,0.0,9.0,6,110,3,E 
23-06-2019,22.0,28.8,25.0,80,0.0,8.9,5,110,3,SE
24-06-2019,22.0,29.0,25.1,78,0.0,10.6,5,130,3,E 
25-06-2019,23.0,29.4,25.0,78,0.0,10.5,6,110,5,E 
26-06-2019,24.0,28.4,25.1,79,0.0,10.0,6,110,4,SE
27-06-2019,23.0,29.0,25.2,75,0.0,10.3,5,120,2,SE
28-06-2019,22.0,28.6,24.7,73,0.0,9.1,5,100,4,E 
29-06-2019,24.0,28.8,26.2,66,0.0,9.9,6,120,4,E 
30-06-2019,22.0,28.9,24.4,72,0.0,9.9,6,90,3,E 
