Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-05-2019,25.7,31.5,27.9,78.0,0.0,10.7,8,80,3,E 
02-05-2019,24.9,31.0,27.5,84.0,18.1,11.1,4,100,2,E 
03-05-2019,25.0,31.1,28.0,79.0,0.0,9.1,4,100,2,E 
04-05-2019,26.0,31.0,27.5,80.0,0.0,11.0,5,250,2,S 
05-05-2019,25.0,30.9,27.5,84.0,1.0,10.8,6,130,3,E 
06-05-2019,26.0,30.5,27.7,85.0,0.5,10.3,5,110,3,E 
07-05-2019,26.0,30.3,27.9,84.0,0.0,8.5,6,110,3,E 
08-05-2019,24.0,29.6,26.8,78.0,0.4,10.7,5,80,2,E 
09-05-2019,,29.9,25.9,85.0,1.0,10.1,5,110,3,E 
10-05-2019,26.0,29.8,27.4,80.0,8888.0,8.4,6,110,4,E 
11-05-2019,24.0,29.4,26.1,80.0,0.0,10.2,7,110,4,E 
12-05-2019,25.0,29.8,27.3,80.0,0.0,9.5,5,120,3,SE
13-05-2019,24.0,29.6,,,6.8,9.6,5,80,3,E 
14-05-2019,25.0,30.2,27.6,80.0,0.0,10.7,5,100,4,E 
15-05-2019,27.0,30.1,27.9,78.0,0.0,10.2,6,110,4,E 
16-05-2019,26.0,30.5,27.6,76.0,0.0,10.2,5,110,2,SE
17-05-2019,25.0,30.0,26.8,78.0,0.0,9.7,5,120,3,E 
18-05-2019,23.0,29.8,25.9,78.0,0.0,10.5,5,110,2,E 
19-05-2019,23.0,29.7,26.5,78.0,0.0,10.2,5,110,2,E 
20-05-2019,24.0,30.0,26.4,85.0,0.0,10.8,5,110,3,E 
21-05-2019,25.0,30.1,26.9,85.0,0.0,,5,110,3,E 
22-05-2019,,30.0,27.2,86.0,0.0,9.8,6,120,4,E 
23-05-2019,26.0,30.0,27.0,85.0,0.0,10.0,6,110,4,E 
24-05-2019,26.0,29.4,27.2,80.0,0.0,9.1,6,120,3,E 
25-05-2019,25.0,29.6,26.7,80.0,0.0,10.8,5,100,3,E 
26-05-2019,25.0,29.8,27.0,82.0,0.0,10.2,7,90,4,E 
27-05-2019,26.0,29.9,27.8,78.0,0.0,8.1,6,120,4,E 
28-05-2019,27.0,30.0,27.7,79.0,0.0,9.3,6,110,4,E 
29-05-2019,22.0,29.5,27.8,78.0,0.0,8.5,10,110,5,E 
30-05-2019,27.0,29.8,27.8,74.0,0.0,10.0,9,100,6,E 
31-05-2019,,29.6,27.5,72.0,0.0,9.5,7,110,6,E 
