Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-10-2019,24.0,,26.3,76.0,0.0,10.5,5,110,3,E 
02-10-2019,24.0,30.4,26.8,81.0,0.0,10.0,5,120,3,E 
03-10-2019,25.0,30.4,26.8,82.0,0.0,9.7,5,90,3,E 
04-10-2019,24.0,30.5,26.3,81.0,0.0,10.5,4,90,2,E 
05-10-2019,22.0,31.0,26.1,73.0,0.0,10.9,5,100,2,W 
06-10-2019,,31.3,26.9,77.0,0.0,10.8,5,90,2,E 
07-10-2019,,30.1,27.2,77.0,0.0,10.3,5,120,3,E 
08-10-2019,24.0,30.8,26.8,80.0,0.0,9.5,6,110,2,E 
09-10-2019,23.0,31.3,26.9,72.0,0.0,9.2,4,100,3,E 
10-10-2019,25.0,31.4,27.6,76.0,0.0,11.5,5,90,3,E 
11-10-2019,25.0,33.6,28.0,76.0,0.0,10.9,5,110,3,E 
12-10-2019,25.0,30.8,27.4,76.0,0.0,11.2,6,120,3,E 
13-10-2019,25.0,31.7,27.4,76.0,0.0,10.5,5,110,2,SE
14-10-2019,24.0,31.3,27.0,74.0,0.0,9.9,5,120,2,S 
15-10-2019,25.0,30.9,27.3,76.0,0.0,8.5,5,110,2,SE
16-10-2019,24.0,31.0,27.5,74.0,0.0,10.2,5,90,2,E 
17-10-2019,23.0,31.0,26.5,76.0,0.0,10.5,5,110,3,E 
18-10-2019,24.0,31.1,,,0.0,10.7,5,120,3,E 
19-10-2019,24.0,31.4,27.6,74.0,0.0,10.5,5,110,3,E 
20-10-2019,25.0,31.6,28.0,78.0,0.0,10.7,5,120,3,E 
21-10-2019,26.0,31.5,28.2,78.0,0.0,10.0,5,110,2,E 
22-10-2019,24.0,32.2,27.4,78.0,0.0,11.6,5,100,3,E 
23-10-2019,25.0,31.9,28.1,78.0,0.0,11.0,5,110,2,E 
24-10-2019,25.0,32.8,27.7,76.0,0.0,,4,110,2,S 
25-10-2019,25.0,32.1,28.0,75.0,0.0,10.7,5,110,2,E 
26-10-2019,25.0,32.1,27.5,76.0,0.0,11.3,5,90,2,E 
27-10-2019,24.0,31.9,27.4,75.0,8888.0,11.0,5,110,2,E 
28-10-2019,25.0,32.4,28.3,75.0,1.3,11.7,5,110,2,W 
29-10-2019,25.0,32.2,27.7,75.0,0.0,10.6,5,260,2,S 
30-10-2019,24.0,32.0,28.1,74.0,0.0,11.7,6,120,2,SE
31-10-2019,25.0,31.8,,,0.0,11.5,5,120,3,E 
