Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2019,24,28.0,25.4,76,0.0,10.8,8,130,4,E 
02-09-2019,23,28.4,25.1,79,0.0,9.2,7,110,3,E 
03-09-2019,23,28.3,25.1,79,0.0,11.0,5,110,3,E 
04-09-2019,22,28.9,24.5,77,0.0,10.8,5,90,3,E 
05-09-2019,21,29.2,24.2,78,0.0,11.1,5,100,3,E 
06-09-2019,23,28.6,25.5,80,0.0,10.5,5,120,3,E 
07-09-2019,23,30.5,25.8,78,0.0,9.6,5,120,4,SE
08-09-2019,24,29.2,26.0,78,8888.0,7.7,6,110,4,E 
09-09-2019,25,29.7,26.1,79,0.0,7.5,6,100,4,E 
10-09-2019,25,29.2,26.1,78,0.0,9.2,6,120,4,E 
11-09-2019,25,29.0,26.1,70,0.0,10.4,6,110,4,E 
12-09-2019,25,28.6,26.1,68,0.0,10.6,5,110,4,SE
13-09-2019,23,28.2,24.6,82,25.4,6.5,7,120,4,SE
14-09-2019,23,28.6,25.7,78,8888.0,6.2,5,120,4,E 
15-09-2019,25,28.5,25.7,80,0.0,10.2,6,110,5,E 
16-09-2019,24,28.5,25.4,79,0.0,10.5,5,110,4,E 
17-09-2019,24,29.2,25.9,78,0.0,8.6,6,110,4,E 
18-09-2019,23,28.7,25.8,81,0.0,9.5,6,110,4,E 
19-09-2019,24,28.8,25.9,77,0.0,10.3,6,110,4,E 
20-09-2019,25,28.8,26.0,78,8888.0,10.7,7,110,3,E 
21-09-2019,24,29.4,26.2,76,0.0,10.2,5,100,3,SE
22-09-2019,24,29.2,26.1,75,0.0,9.5,5,100,4,SE
23-09-2019,25,29.4,26.2,76,0.0,8.2,6,130,4,SE
24-09-2019,25,29.6,26.8,79,0.0,9.0,6,120,4,E 
25-09-2019,20,29.6,26.8,80,0.0,10.0,6,110,4,E 
26-09-2019,26,30.1,27.0,78,0.0,10.5,6,110,4,E 
27-09-2019,25,30.1,26.9,79,0.0,10.4,6,110,4,E 
28-09-2019,25,29.7,26.4,83,0.8,10.2,6,110,4,SE
29-09-2019,25,30.2,26.7,79,0.0,9.4,5,110,4,SE
30-09-2019,24,29.8,26.4,81,0.0,10.0,5,110,3,E 
